dataset,n,R,metodo,tiempo
mejor-caso-BT,395,1000,BT,0.08735
mejor-caso-BT,396,1000,BT,0.085898
mejor-caso-BT,397,1000,BT,0.087731
mejor-caso-BT,398,1000,BT,0.090312
mejor-caso-BT,399,1000,BT,0.137335
mejor-caso-BT,400,1000,BT,0.146503
mejor-caso-BT,401,1000,BT,0.083711
mejor-caso-BT,402,1000,BT,0.087337
mejor-caso-BT,403,1000,BT,0.089324
mejor-caso-BT,404,1000,BT,0.085723
mejor-caso-BT,405,1000,BT,0.090295
mejor-caso-BT,406,1000,BT,0.088137
mejor-caso-BT,407,1000,BT,0.08838
mejor-caso-BT,408,1000,BT,0.085517
mejor-caso-BT,409,1000,BT,0.090427
mejor-caso-BT,410,1000,BT,0.085855
mejor-caso-BT,411,1000,BT,0.081481
mejor-caso-BT,412,1000,BT,0.085756
mejor-caso-BT,413,1000,BT,0.085015
mejor-caso-BT,414,1000,BT,0.085963
mejor-caso-BT,415,1000,BT,0.087263
mejor-caso-BT,416,1000,BT,0.087159
mejor-caso-BT,417,1000,BT,0.086158
mejor-caso-BT,418,1000,BT,0.083058
mejor-caso-BT,419,1000,BT,0.082844
mejor-caso-BT,420,1000,BT,0.088378
mejor-caso-BT,421,1000,BT,0.093155
mejor-caso-BT,422,1000,BT,0.090959
mejor-caso-BT,423,1000,BT,0.089355
mejor-caso-BT,424,1000,BT,0.09124
mejor-caso-BT,425,1000,BT,0.087935
mejor-caso-BT,426,1000,BT,0.093194
mejor-caso-BT,427,1000,BT,0.095195
mejor-caso-BT,428,1000,BT,0.093747
mejor-caso-BT,429,1000,BT,0.093091
mejor-caso-BT,430,1000,BT,0.084924
mejor-caso-BT,431,1000,BT,0.090625
mejor-caso-BT,432,1000,BT,0.086055
mejor-caso-BT,433,1000,BT,0.089517
mejor-caso-BT,434,1000,BT,0.088391
mejor-caso-BT,435,1000,BT,0.093183
mejor-caso-BT,436,1000,BT,0.094138
mejor-caso-BT,437,1000,BT,0.09844
mejor-caso-BT,438,1000,BT,0.094161
mejor-caso-BT,439,1000,BT,0.087447
mejor-caso-BT,440,1000,BT,0.13991
mejor-caso-BT,441,1000,BT,0.09524
mejor-caso-BT,442,1000,BT,0.098226
mejor-caso-BT,443,1000,BT,0.096563
mejor-caso-BT,444,1000,BT,0.096017
mejor-caso-BT,445,1000,BT,0.098798
mejor-caso-BT,446,1000,BT,0.09444
mejor-caso-BT,447,1000,BT,0.099181
mejor-caso-BT,448,1000,BT,0.097418
mejor-caso-BT,449,1000,BT,0.092639
mejor-caso-BT,450,1000,BT,0.089133
mejor-caso-BT,451,1000,BT,0.097583
mejor-caso-BT,452,1000,BT,0.099338
mejor-caso-BT,453,1000,BT,0.099245
mejor-caso-BT,454,1000,BT,0.099128
mejor-caso-BT,455,1000,BT,0.117712
mejor-caso-BT,456,1000,BT,0.096561
mejor-caso-BT,457,1000,BT,0.096888
mejor-caso-BT,458,1000,BT,0.099559
mejor-caso-BT,459,1000,BT,0.092949
mejor-caso-BT,460,1000,BT,0.09554
mejor-caso-BT,461,1000,BT,0.096575
mejor-caso-BT,462,1000,BT,0.100965
mejor-caso-BT,463,1000,BT,0.100927
mejor-caso-BT,464,1000,BT,0.103181
mejor-caso-BT,465,1000,BT,0.10232
mejor-caso-BT,466,1000,BT,0.101744
mejor-caso-BT,467,1000,BT,0.105585
mejor-caso-BT,468,1000,BT,0.099403
mejor-caso-BT,469,1000,BT,0.101935
mejor-caso-BT,470,1000,BT,0.102482
mejor-caso-BT,471,1000,BT,0.102108
mejor-caso-BT,472,1000,BT,0.101829
mejor-caso-BT,473,1000,BT,0.099024
mejor-caso-BT,474,1000,BT,0.101318
